emp_no,first_name,last_name,dept_info
10053,Sanjiv,Zschoche,"(10053,Sanjiv,Zschoche,Sales)"
10088,Jungsoon,Syrzycki,"(10088,Jungsoon,Syrzycki,Sales)"
10215,Xiaobin,Duclos,"(10215,Xiaobin,Duclos,Sales)"
10355,Satyanarayana,Cochrane,"(10355,Satyanarayana,Cochrane,Sales)"
10463,Ung,Zaiane,"(10463,Ung,Zaiane,Sales)"
10504,Xiong,Varker,"(10504,Xiong,Varker,Sales)"
10548,Ramalingam,Gunderson,"(10548,Ramalingam,Gunderson,Sales)"
10767,Monique,Doering,"(10767,Monique,Doering,Sales)"
10795,Supot,Naudin,"(10795,Supot,Naudin,Sales)"
10836,Jianhua,Leivant,"(10836,Jianhua,Leivant,Sales)"
10878,Lakshmi,Deville,"(10878,Lakshmi,Deville,Sales)"
10924,Hironoby,Atchley,"(10924,Hironoby,Atchley,Sales)"
10965,Eckart,Braunschweig,"(10965,Eckart,Braunschweig,Sales)"
11009,Alper,Axelband,"(11009,Alper,Axelband,Sales)"
11048,Jaques,Demke,"(11048,Jaques,Demke,Sales)"
11146,Ishfaq,Masand,"(11146,Ishfaq,Masand,Sales)"
11197,Tadahiro,Fordan,"(11197,Tadahiro,Fordan,Sales)"
11338,Kwangsub,Hanratty,"(11338,Kwangsub,Hanratty,Sales)"
11441,Marlo,Aingworth,"(11441,Marlo,Aingworth,Sales)"
11506,Rance,Picel,"(11506,Rance,Picel,Sales)"
11515,Ulf,Basawa,"(11515,Ulf,Basawa,Sales)"
11537,DAIDA,Pehl,"(11537,DAIDA,Pehl,Sales)"
11567,Teiji,Mitzlaff,"(11567,Teiji,Mitzlaff,Sales)"
11615,Shem,Isaak,"(11615,Shem,Isaak,Sales)"
11660,Gill,Stenning,"(11660,Gill,Stenning,Sales)"
11696,Dante,Rothe,"(11696,Dante,Rothe,Sales)"
11746,Koichi,Marrakchi,"(11746,Koichi,Marrakchi,Sales)"
11797,Chenxi,Thambidurai,"(11797,Chenxi,Thambidurai,Sales)"
11817,Niranjan,Markovitch,"(11817,Niranjan,Markovitch,Sales)"
11857,Divier,Farrag,"(11857,Divier,Farrag,Sales)"
11897,Cordelia,Setlzner,"(11897,Cordelia,Setlzner,Sales)"
12011,Zhilian,Coorg,"(12011,Zhilian,Coorg,Sales)"
12036,Mads,Ratzlaff,"(12036,Mads,Ratzlaff,Sales)"
12076,Karlis,Siprelle,"(12076,Karlis,Siprelle,Sales)"
12082,Xinan,Yamaashi,"(12082,Xinan,Yamaashi,Sales)"
12099,Nobuyoshi,Kuzuoka,"(12099,Nobuyoshi,Kuzuoka,Sales)"
12149,Suebskul,Grandbois,"(12149,Suebskul,Grandbois,Sales)"
12373,Mooi,Driscoll,"(12373,Mooi,Driscoll,Sales)"
12399,Mihalis,Luga,"(12399,Mihalis,Luga,Sales)"
12411,Shao,Ibel,"(12411,Shao,Ibel,Sales)"
12454,Kerryn,Farris,"(12454,Kerryn,Farris,Sales)"
12464,Shai,Milicic,"(12464,Shai,Milicic,Sales)"
12497,Stein,Penz,"(12497,Stein,Penz,Sales)"
12541,Shih,Nanard,"(12541,Shih,Nanard,Sales)"
12651,Pragnesh,Bael,"(12651,Pragnesh,Bael,Sales)"
12664,Zhonghua,Parveen,"(12664,Zhonghua,Parveen,Sales)"
12732,Mara,Takanami,"(12732,Mara,Takanami,Sales)"
12790,Gunilla,Perl,"(12790,Gunilla,Perl,Sales)"
12798,Lillian,Beeson,"(12798,Lillian,Beeson,Sales)"
12803,Gad,Boissier,"(12803,Gad,Boissier,Sales)"
12872,Marl,Schmittgen,"(12872,Marl,Schmittgen,Sales)"
12890,Neven,Casley,"(12890,Neven,Casley,Sales)"
12893,Licheng,Crouzet,"(12893,Licheng,Crouzet,Sales)"
13075,Rosella,Morrin,"(13075,Rosella,Morrin,Sales)"
13124,Quingbo,Garnick,"(13124,Quingbo,Garnick,Sales)"
13146,Haldon,Erie,"(13146,Haldon,Erie,Sales)"
13147,Shichao,Ginesta,"(13147,Shichao,Ginesta,Sales)"
13173,Arve,Horswill,"(13173,Arve,Horswill,Sales)"
13179,Moty,Janocha,"(13179,Moty,Janocha,Sales)"
13186,Kyoichi,Barbanera,"(13186,Kyoichi,Barbanera,Sales)"
13210,Jianhua,Klassen,"(13210,Jianhua,Klassen,Sales)"
13213,Hein,Billawala,"(13213,Hein,Billawala,Sales)"
13238,Ebru,Foote,"(13238,Ebru,Foote,Sales)"
13392,Fumitake,Beidas,"(13392,Fumitake,Beidas,Sales)"
13405,Randy,Baba,"(13405,Randy,Baba,Sales)"
13524,Chaoyi,Porotnikoff,"(13524,Chaoyi,Porotnikoff,Sales)"
13605,Dmitry,Encarnacion,"(13605,Dmitry,Encarnacion,Sales)"
13680,Denny,Speer,"(13680,Denny,Speer,Sales)"
13721,Sugwoo,Delgrossi,"(13721,Sugwoo,Delgrossi,Sales)"
